ticket_name,price,currency,ticket_count,revenue,more_info
Child Ticket,55,SGD,0,0,S.E.A. Aquarium ticket + Trick Eye Museum ticket Child Ticket
Child Ticket,116,SGD,36,4176,S.E.A. Aquarium ticket + Universal Studios Singapore ticket + Singapore Cable Car ticket Child Ticket
Adult Ticket,156,SGD,133,20748,S.E.A. Aquarium ticket + Universal Studios Singapore ticket + Singapore Cable Car ticket Adult Ticket
Adult Ticket,73,SGD,393,28689,S.E.A. Aquarium Tickets + Singapore Cable Car Tickets Adult Ticket
Child Ticket,54,SGD,98,5292,S.E.A. Aquarium Tickets + Singapore Cable Car Tickets Child Ticket
Adult Ticket,61.1,SGD,144,8784,S.E.A. Aquarium Tickets + Wings of Time Standard seat performance ticket Adult Ticket - Booking on Your Own
Child Ticket,50.1,SGD,32,1600,S.E.A. Aquarium Tickets + Wings of Time Standard seat performance ticket Child Ticket - Booking on Your Own
Adult Ticket,167,SGD,374,62458,Adventure Cove Waterpark Admission Ticket + Universal Studios Singapore Ticket + S.E.A. Aquarium Ticket Adult Ticket
Child Ticket,127,SGD,187,23749,Adventure Cove Waterpark Admission Ticket + Universal Studios Singapore Ticket + S.E.A. Aquarium Ticket Child Ticket
Adult Ticket,76,SGD,203,15428,Gardens by the Bay Flower Dome + Cloud Forest Ticket + S.E.A. Aquarium Ticket Adult Ticket
Child Ticket,54,SGD,41,2214,Gardens by the Bay Flower Dome + Cloud Forest Ticket + S.E.A. Aquarium Ticket Child Ticket
Adult Ticket,89,SGD,43,3827,S.E.A. Aquarium Ticket + Singapore Zoo Ticket Adult Ticket
Child Ticket,69,SGD,12,828,S.E.A. Aquarium Ticket + Singapore Zoo Ticket Child Ticket
Adult Ticket,93.5,SGD,127,11811,Night Safari Ticket + S.E.A. Aquarium Ticket Adult Ticket
Child Ticket,71,SGD,34,2414,Night Safari Ticket + S.E.A. Aquarium Ticket Child Ticket
Adult Ticket,84,SGD,90,7560,Adventure Cove Waterpark + S.E.A. Aquarium Ticket Adult Ticket
Child Ticket,65,SGD,47,3055,Adventure Cove Waterpark + S.E.A. Aquarium Ticket Child Ticket
Adult Ticket,84,SGD,18,1512,Singapore Flyer (With Time Capsule Experience) + S.E.A. Aquarium Ticket Adult Ticket
Child Ticket,58,SGD,4,232,Singapore Flyer (With Time Capsule Experience) + S.E.A. Aquarium Ticket Child Ticket
Standard Ticket,3,SGD,27,81,S.E.A. Aquarium / Adventure Cove Waterpark SG$5 Retail Voucher  (Minimum Spend SG$25) Standard Ticket
Standard Ticket,15,SGD,58,870,Universal Studios Singapore /S.E.A. Aquarium/Adventure Cove Waterpark 6R DIGIPHOTO REDEMPTION VOUCHER Standard Ticket
Standard Ticket,10,SGD,3,30,S.E.A. Aquarium 3D Ice Cream Standard Ticket-Ocean Series Ice Cream
